अँग्रेज़	̃grēz
फ़र्क़	frq
फ़रक्का	frā
फर्ज़	phrz
फ़र्ज़	frz
फ़र्ज़ी	frzī
फ़र्डिनेंड	frḍiēṇḍ
फ़र्नांडो	frāṇḍō
फर्नीचर	phrīcr
फर्म	phrm
फ़र्म	frm
फ़र्राटे	frrāṭē
फरवरी	phrvrī
फ़रवरी	frvrī
फ़र्स्ट	frsṭ
फ़रहत	frht
फ़्राँस	frā̃s
फ्रांस	phrā̃s
फ़्रांस	frā̃s
फ्रांसिसको	phrā̃sisō
फ्रांसीसी	phrā̃sīsī
फ़्रांसीसी	frā̃sīsī
फ़्रांसेस	frā̃sēs
फ़रार	frār
फ़रारी	frārī
फ़राह	frāh
फ्री	phrī
फ्रींसीसी	phrī̃sīsī
फ़्रीडम	frīḍm
फ़रीदपुर	frīdpur
फ़रीदा	frīdā
फ़रीदाबाद	frīdābād
फ़्रीमन	frīm
फ्रीमैन	phrīmi
फ्रूट	phrūṭ
फ़्रेंच	frēñc
फ़्रेंड	frēṇḍ
फ़्रेक्सिया	frēsiyā
फ़्रेड	frēḍ
फ्रेम	phrēm
फ़रेरो	frērō
फ़रेल	frēl
फ्रैंक	phri
फ़्रैंकफ़ुर्त	frifurt
फ्रैंक्स	phris
फ़्रैंको	friō
फल	phl
फलक्स	phls
फलना	phlā
फलने	phlē
फलभक्षी	phlbhṣī
फलस्तीन	phlstī
फ़लस्तीन	flstī
फ़्लस्तीन	flstī
फलस्तीनियों	phlstīiyō̃
फ़लस्तीनियों	flstīiyō̃
फलस्तीनी	phlstīī
फ़लस्तीनी	flstīī
फ़लसफ़े	flsfē
फलस्वरूप	phlsvrūp
फलह	phlh
फला	phlā
फ्लाई	phlāī
फ़्लाविया	flāviyā
फ़्लास्क	flās
फलासिया	phlāsiyā
फ़लाह	flāh
फ़्लिंटॉफ़	fliṇṭôf
फ़्लू	flū
फ़लूजा	flūjā
फ्लेमिंग	phlēmig
फ़्लेमिंग	flēmig
फ्लैश	phliś
फ़्लैश	fliś
फ़्लॉप	flôp
फलो	phlō
फ्लोर्स	phlōrs
फ्लोरिडा	phlōriḍā
फ़्लोरिडा	flōriḍā
फ़्लोरिस	flōris
फ्लोरेंस	phlōrē̃s
फ्लोरेनसिस	phlōrēsis
फ्लोरेसेनसिस	phlōrēsēsis
फ्लोरोसेनसिस	phlōrōsēsis
फसल	phsl
फ़सल	fsl
फ़सलों	fslō̃
फसाद	phsād
फ़हद	fhd
फहराकर	phhrār
फहराया	phhrāyā
फाँक	phā̃
फाँद	phā̃d
फाँसी	phā̃sī
फ़ांस	fā̃s
फ़ाइज़र	fāizr
फ़ाइट	fāiṭ
फ़ाइन	fāi
फाइनल	phāil
फ़ाइनल	fāil
फ़ाइनेंशियल	fāiē̃śiyl
फ़ाइनेंसर	fāiē̃sr
फाइल	phāil
फ़ाइल	fāil
फाइलों	phāilō̃
फ़ाइव	fāiv
फ़ाई	fāī
फ़ाउंडेशन	fāuṇḍēś
फ़ाउल	fāul
फाग	phāg
फ़ातिमा	fātimā
फ़ादर	fādr
फ़ान्ट	fāṭ
फानन	phā
फायदा	phāydā
फ़ायदा	fāydā
फायदे	phāydē
फ़ायदे	fāydē
फ़ायदेमंद	fāydēmd
फ़ायदों	fāydō̃
फायरवॉल	phāyrvôl
फ़ायरिंग	fāyrig
फार्म	phārm
फ़ार्म	fārm
फार्मूला	phārmūlā
फ़ार्मूला	fārmūlā
फार्मूले	phārmūlē
फ़ार्मूले	fārmūlē
फार्रेल	phārrēl
फारवर्ड	phārvrḍ
फारसी	phārsī
फ़ारसी	fārsī
फ़ारूक़	fārūq
फारूकी	phārūī
फारूख	phārūh
फाल्के	phālē
फाल्गुन	phālgu
फ़ाल्गुन	fālgu
फ़ालतू	fāltū
फालिस	phālis
फालोऑन	phālōô
फ़ासला	fāslā
फासले	phāslē
फासीवादियों	phāsīvādiyō̃
फ़िंगर	figr
फ़िक्र	fir
फ़िकरे	firē
फ़िकरों	firō̃
फ़िक्स	fis
फ़िक्सिंग	fisig
फ़िग्वेरेडो	figvērēḍō
फिगो	phigō
फ़िज़िक्स	fizis
फ़िजूल	fijūl
फ़िज़ूलखर्ची	fizūlhrcī
फ़िज़ूलख़र्ची	fizūḻẖrcī
फिट	phiṭ
फ़िट	fiṭ
फितरत	phitrt
फ़िनलैंड	filiṇḍ
फिप्पस	phipps
फिर	phir
फ़िर	fir
फ़िरकापरस्त	firāprst
फिरता	phirtā
फिरना	phirā
फिराकी	phirāī
फिरोज	phirōj
फिरोज़	phirōz
फ़िरोज	firōj
फ़िरोज़	firōz
फिरौती	phirutī
फ़िरौती	firutī
फिल्म	philm
फ़िल्म	film
फ़िल्मकार	filmār
फ़िल्मकारों	filmārō̃
फिल्मवाले	philmvālē
फ़िल्मवालों	filmvālō̃
फिल्मस	philms
फ़िल्म्स	films
फ़िल्माए	filmāē
फिल्माया	philmāyā
फ़िल्माया	filmāyā
फिल्मी	philmī
फ़िल्मी	filmī
फ़िल्मे	filmē
फिल्में	philmē̃
फ़िल्में	filmē̃
फ़िल्मो	filmō
फिल्मों	philmō̃
फ़िल्मों	filmō̃
फिल्मोत्सव	philmōtsv
फ़िल्मोत्सव	filmōtsv
फिल्मोद्योग	philmōdyōg
फ़िल्मोद्योग	filmōdyōg
फिलहाल	philhāl
फ़िलहाल	filhāl
फिलाडेल्फ़िया	philāḍēlfiyā
फ़िलाडेल्फ़िया	filāḍēlfiyā
फ़िलाहाल	filāhāl
फिलिप	philip
फ़िलिप	filip
फिलीपींस	philīpī̃s
फ़िलीपीन्स	filīpīs
फिलीपीनी	philīpīī
फिले	philē
फ़िलेडेल्फ़िया	filēḍēlfiyā
फ़िश	fiś
फिसल	phisl
फिसलन	phisl
फीका	phīā
फीगो	phīgō
फ़ीचर	fīcr
फीचर्स	phīcrs
फ़ीजि	fīji
फ़ीजी	fījī
फीनिक्स	phīis
फ़ीनिक्स	fīis
फ़ीफ़ा	fīfā
फ़ीमेल	fīmēl
फ़ीरोज़	fīrōz
फ़ील्ड	fīlḍ
फ़ीस	fīs
फीसदी	phīsdī
फ़ीसदी	fīsdī
फ़ुकेत	fuēt
फुट	phuṭ
फुटबाल	phuṭbāl
फुटबॉल	phuṭbôl
फ़ुटबॉल	fuṭbôl
फ़ुबॉल	fubôl
फुरत	phurt
फुर्ती	phurtī
फुर्तीली	phurtīlī
फ़ुरसत	furst
फुलकी	phulī
फुल्की	phulī
फ़ुल्की	fulī
फुलके	phulē
फुल्के	phulē
फुलझड़ियों	phuljhṛiyō̃
फुलाने	phulāē
फुसफुसा	phusphusā
फूँक	phū̃
फूंक	phū
फूकट	phūṭ
फ़ूकेत	fūēt
फूट	phūṭ
फूटफूट	phūṭphūṭ
फूटी	phūṭī
फूटे	phūṭē
फूड	phūḍ
फूल	phūl
फ़ूल	fūl
फूलका	phūlā
फूलना	phūlā
फूलने	phūlē
फूला	phūlā
फूले	phūlē
फूलों	phūlō̃
फेंक	phē
फेंकते	phētē
फेंकना	phēā
फेंकने	phēē
फेंके	phēē
फ़ेडरर	fēḍrr
फेडरेशन	phēḍrēś
फ़ेडरेशन	fēḍrēś
फ़ेडेरेशन	fēḍērēś
फ़ेथफ़ुल	fēthful
फेफड़ा	phēphṛā
फेफड़े	phēphṛē
फेफडों	phēphḍō̃
फेफड़ों	phēphṛō̃
फेयर	phēyr
फेर	phēr
फेरबदल	phērbdl
फ़ेरबदल	fērbdl
फ़ेरहिस्त	fērhist
फ़ेरिस	fēris
फेल	phēl
फ़ेल	fēl
फ़ेलिका	fēliā
फ़ेलोशिप	fēlōśip
फ़ेस	fēs
फ़ेस्टिवल	fēsṭivl
फ़ेहरिस्त	fēhrist
फैंकने	phiē
फ़ैक्टरियों	fiṭriyō̃
फ़ैक्टरी	fiṭrī
फैज़ाबाद	phizābād
फ़ैज़ाबाद	fizābād
फ़ैड	fiḍ
फैमिली	phimilī
फैल	phil
फैलता	philtā
फैलती	philtī
फैलते	philtē
फैलना	philā
फैलने	philē
फैला	philā
फैलाई	philāī
फैलाईं	philāī̃
फैलाती	philātī
फैलाते	philātē
फैलाने	philāē
फ़ैलाने	filāē
फैलाया	philāyā
फैली	philī
फैले	philē
फैलेगी	philēgī
फैशन	phiś
फ़ैशन	fiś
फ़ैसल	fisl
फैसला	phislā
फ़ैसला	fislā
फैसले	phislē
फ़ैसले	fislē
फ़ैसलों	fislō̃
फॉक्स	phôs
फ़ॉन्ट	fôṭ
फॉर	phôr
फ़ॉर	fôr
फॉर्म	phôrm
फ़ॉर्म	fôrm
फ़ॉर्मूला	fôrmūlā
फ़ॉर्मूले	fôrmūlē
फ़ॉर्मेट	fôrmēṭ
फ़ॉल	fôl
फ़ोटॉन	fōṭô
फोटो	phōṭō
फ़ोटो	fōṭō
फोटोग्राफर	phōṭōgrāphr
फ़ोटोग्राफ़र	fōṭōgrāfr
फ़ोटोग्राफ़रों	fōṭōgrāfrō̃
फ़ोटोग्राफ़ी	fōṭōgrāfī
फ़ोटोशॉप	fōṭōśôp
फोटोस्टेट	phōṭōsṭēṭ
फोड़	phōṛ
फोन	phō
फ़ोन	fō
फोनों	phōō̃
फ़ोनों	fōō̃
फ़ोनोग्राफ़	fōōgrāf
फ़ोबे	fōbē
फ़ोर्ट	fōrṭ
फोरम	phōrm
फ़ोरम	fōrm
फ़ोर्स	fōrs
फ़ोर्सेस	fōrsēs
फ़ौजी	fujī
फौरन	phur
फ़ौरन	fur
बँगला	bm̐glā
बँट	bm̐ṭ
बँटवारा	bm̐ṭvārā
बँटवारे	bm̐ṭvārē
बँटा	bm̐ṭā
बँटी	bm̐ṭī
बँटे	bm̐ṭē
बँटेगा	bm̐ṭēgā
बँध	bm̐dh
बँधे	bm̐dhē
बंग्लादेश	bglādēś
बंगले	bglē
बंगलोर	bglōr
बंगलौर	bglur
बंगाल	bgāl
बंगालियों	bgāliyō̃
बंगाली	bgālī
बंटा	bṇṭā
बंटाया	bṇṭāyā
बंटी	bṇṭī
बंद	bd
बंद्योपाध्याय	bdyōpādhyāy
बंदर	bdr
बंदरगाह	bdrgāh
बंदरों	bdrō̃
बंदल	bdl
बंदियों	bdiyō̃
बंदी	bdī
बंदूक	bdū
बंदे	bdē
बंध	bdh
बंधक	bdh
बंधकों	bdhō̃
बंधन	bdh
बंधनों	bdhō̃
बंधा	bdhā
बंधाना	bdhāā
बंधु	bdhu
बंधुओं	bdhuō̃
बंधुत्व	bdhutv
बंधे	bdhē
बंबइया	bmbiyā
बंबई	bmbī
बंसोडे	bṁsōḍē
बंसोदे	bṁsōdē
बक्र	br
बक़र	bqr
बकरी	brī
बक़रीद	bqrīd
बकवास	bvās
बक्सर	bsr
बक्सानी	bsāī
बक्से	bsē
बकाया	bāyā
बकिंघम	bighm
बक़ौल	bqul
बख़्त	ḇẖt
बखान	bhā
बख़ुद	ḇẖud
बखूबी	bhūbī
बख़ूबी	ḇẖūbī
बग्गा	bggā
बगदाद	bgdād
बग़दाद	bġdād
बगल	bgl
बगलिहार	bglihār
बगान	bgā
बगाहे	bgāhē
बगैर	bgir
बग़ैर	bġir
बच	bc
बच्चन	bcc
बच्चनजी	bccjī
बच्चा	bccā
बच्ची	bccī
बच्चे	bccē
बच्चें	bccē̃
बच्चों	bccō̃
बचतीं	bctī̃
बचना	bcā
बचने	bcē
बचपन	bcp
बचा	bcā
बचाई	bcāī
बचाए	bcāē
बचाएँ	bcāē̃
बचाता	bcātā
बचाती	bcātī
बचाते	bcātē
बचाना	bcāā
बचाने	bcāē
बचाया	bcāyā
बचाव	bcāv
बचावकर्मियों	bcāvrmiyō̃
बचावकर्मी	bcāvrmī
बचिए	bciē
बची	bcī
बचीं	bcī̃
बचे	bcē
बचेंगे	bcēgē
बचेगा	bcēgā
बछवारा	bchvārā
बज	bj
बजट	bjṭ
बजता	bjtā
बजती	bjtī
बजरंग	bjrg
बज्रभूषण	bjrbhūṣṇ
बजा	bjā
बजाईं	bjāī̃
बजाकर	bjār
बजाते	bjātē
बजाना	bjāā
बजानी	bjāī
बजाने	bjāē
बजाय	bjāy
बजाया	bjāyā
बजे	bjē
बजेगा	bjēgā
बजेगी	bjēgī
बजौरिया	bjuriyā
बट	bṭ
बट्टा	bṭṭā
बटन	bṭ
बटुआ	bṭuā
बटुए	bṭuē
बटेर	bṭēr
बटोरते	bṭōrtē
बटोरी	bṭōrī
बटोरीं	bṭōrī̃
बटोरे	bṭōrē
बड	bḍ
बड़ा	bṛā
बड़ी	bṛī
बड़ीं	bṛī̃
बड़े	bṛē
बड़ों	bṛō̃
बडोदरा	bḍōdrā
बड़ोदा	bṛōdā
बड़ौदा	bṛudā
बढ़	bṛh
बढ़कर	bṛhr
बढ़त	bṛht
बढ़ता	bṛhtā
बढती	bḍhtī
बढ़ती	bṛhtī
बढते	bḍhtē
बढ़ते	bṛhtē
बढ़ने	bṛhē
बढ़ा	bṛhā
बढ़ाइए	bṛhāiē
बढ़ाई	bṛhāī
बढ़ाए	bṛhāē
बढ़ाएँ	bṛhāē̃
बढ़ाएँगे	bṛhāē̃gē
बढ़ाएं	bṛhāē̃
बढ़ाएंगे	bṛhāēgē
बढ़ाकर	bṛhār
बढ़ाचढ़ाकर	bṛhācṛhār
बढ़ाती	bṛhātī
बढ़ाते	bṛhātē
बढ़ाना	bṛhāā
बढ़ाने	bṛhāē
बढ़ानेवाला	bṛhāēvālā
बढ़ाया	bṛhāyā
बढ़ायी	bṛhāyī
बढावा	bḍhāvā
बढ़ावा	bṛhāvā
बढ़िया	bṛhiyā
बढ़ी	bṛhī
बढ़ीं	bṛhī̃
बढ़े	bṛhē
बढ़ेगा	bṛhēgā
बढ़ेगी	bṛhēgī
बढ़ोत्तरी	bṛhōttrī
बढ़ोतरी	bṛhōtrī
बढ़ौतरी	bṛhutrī
बत्तख	btth
बत्ती	bttī
बतया	btyā
बत्रा	btrā
बता	btā
बताइए	btāiē
बताई	btāī
बताउं	btāũ
बताए	btāē
बताएँ	btāē̃
बताएँगे	btāē̃gē
बताएं	btāē̃
बताएगा	btāēgā
बताता	btātā
बताती	btātī
बताते	btātē
बताना	btāā
बतानी	btāī
बताने	btāē
बताया	btāyā
बतौर	btur
बदतर	bdtr
बदन	bd
बदनसीब	bdsīb
बदनाम	bdām
बदबू	bdbū
बदबूदार	bdbūdār
बदमिज़ाजी	bdmizājī
बदल	bdl
बदलकर	bdlr
बदलता	bdltā
बदलती	bdltī
बदलते	bdltē
बदलना	bdlā
बदलने	bdlē
बदला	bdlā
बदलाव	bdlāv
बदलावों	bdlāvō̃
बदली	bdlī
बदलीं	bdlī̃
बदले	bdlē
बदलेगी	bdlēgī
बदसूरत	bdsūrt
बदहाल	bdhāl
बदहाली	bdhālī
बदायूँनी	bdāyū̃ī
बदौलत	bdult
बधाइयाँ	bdhāiyā̃
बधाइयों	bdhāiyō̃
बधाई	bdhāī
बधाईयाँ	bdhāīyā̃
बधाईयों	bdhāīyō̃
बन	b
बनकर	br
बनता	btā
बनती	btī
बनते	btē
बन्दरगाह	bdrgāh
बन्दा	bdā
बन्धुत्व	bdhutv
बनना	bā
बननी	bī
बनने	bē
बन्य	by
बनर्जी	brjī
बनवा	bvā
बनवाने	bvāē
बनवाया	bvāyā
बनसोडे	bsōḍē
बना	bā
बनाई	bāī
बनाईं	bāī̃
बनाए	bāē
बनाएँ	bāē̃
बनाएँगे	bāē̃gē
बनाएगा	bāēgā
बनाएगी	bāēgī
बनाकर	bār
बनाता	bātā
बनाती	bātī
बनाते	bātē
बनाना	bāā
बनानी	bāī
बनाने	bāē
बनानेवाली	bāēvālī
बनानेवाले	bāēvālē
बनाम	bām
बनाया	bāyā
बनारस	bārs
बनावट	bāvṭ
बनावटी	bāvṭī
बनिक	bi
बनियान	biyā
बनिहाल	bihāl
बनी	bī
बनीं	bī̃
बने	bē
बनेंगी	bēgī
बनेंगे	bēgē
बनेगा	bēgā
बनेगी	bēgī
बब्बू	bbbū
बबली	bblī
बबलू	bblū
बम	bm
बम्बइया	bmbiyā
बम्बई	bmbī
बमवर्षक	bmvrṣ
बमों	bmō̃
बयान	byā
बयानबाज़ी	byābāzī
बयानों	byāō̃
ब्याह	byāh
ब्यूटी	byūṭī
ब्यूटीफ़ुल	byūṭīful
ब्यूनोस	byūōs
ब्यूरो	byūrō
ब्योर्कमैन	byōrmi
ब्योरा	byōrā
ब्यौरा	byurā
ब्यौरे	byurē
बरकरार	brrār
बरक़रार	brqrār
बर्खास्त	brhāst
बर्ख़ास्त	bṟẖāst
बर्ख़ास्तगी	bṟẖāstgī
बरगी	brgī
बरग़ूती	brġūtī
ब्रजनंदन	brjd
ब्रजेश	brjēś
बर्ट	brṭ
बर्टन	brṭ
बर्ड	brḍ
बर्डिच	brḍic
बर्तन	brt
बरतने	brtē
बरतानियाँ	brtāiyā̃
बर्ताव	brtāv
बरतें	brtē̃
बरतेंगे	brtēgē
बर्थ	brth
बर्थडे	brthḍē
बर्दाश्त	brdāśt
बर्धन	brdh
बर्न	br
बर्नार्ड	brārḍ
बरपा	brpā
बर्फ	brph
बर्फ़	brf
बर्बाद	brbād
बर्बादी	brbādī
बरमक	brm
बर्मा	brmā
बर्लिन	brli
बरस	brs
बरसती	brstī
बरसात	brsāt
बरसाने	brsāē
बरसी	brsī
बरसे	brsē
ब्रसेल्स	brsēls
बरसों	brsō̃
ब्रह्मभट्ट	brhmbhṭṭ
ब्रह्मा	brhmā
ब्रह्मांड	brhmāṇḍ
ब्रह्मांडीय	brhmāṇḍīy
ब्रह्माण्ड	brhmāṇḍ
ब्रह्मोस	brhmōs
ब्राँड	brā̃ḍ
ब्रांड	brāṇḍ
ब्रांडो	brāṇḍō
ब्राइड	brāiḍ
ब्राइडल	brāiḍl
ब्राइस	brāis
ब्राउजर	brāujr
ब्राउज़र	brāuzr
ब्राउन	brāu
ब्राउसर	brāusr
ब्राजील	brājīl
ब्राज़ील	brāzīl
बरादेई	brādēī
ब्रान्सन	brās
बराबर	brābr
बराबरी	brābrī
बरामद	brāmd
ब्रायंट	brāyṇṭ
ब्रायन	brāy
बरार	brār
ब्रास	brās
ब्रासनन	brās
ब्राहमण	brāhmṇ
ब्राह्मण	brāhmṇ
ब्रिगेड	brigēḍ
ब्रिगेडियर	brigēḍiyr
ब्रिटन	briṭ
ब्रिटनी	briṭī
ब्रिटिश	briṭiś
ब्रिटेन	briṭē
ब्रितानियों	britāiyō̃
ब्रितानी	britāī
ब्रिर्टिश	brirṭiś
ब्रिस्टल	brisṭl
ब्रिसबेन	brisbē
बरी	brī
ब्रीच	brīc
ब्रीफ़	brīf
ब्रीफ़केस	brīfēs
ब्रीसेनो	brīsēō
ब्रूनेल	brūēl
ब्रूनो	brūō
ब्रूस	brūs
ब्रेक	brē
ब्रेकर	brēr
ब्रेकिंग	brēig
ब्रेट	brēṭ
ब्रेडमैन	brēḍmi
ब्रेम्पटन	brēmpṭ
ब्रेमर	brēmr
ब्रेमरवेल्ड	brēmrvēlḍ
ब्रेवो	brēvō
ब्रेसी	brēsī
ब्रैंकाटो	briāṭō
ब्रैड	briḍ
ब्रैन्सन	bris
ब्रॉंड	brôṇḍ
ब्रॉडकास्ट	brôḍāsṭ
ब्रॉडवे	brôḍvē
ब्रॉम्पटन	brômpṭ
ब्रोकॅस	brōês
ब्रोडी	brōḍī
ब्रोन्ते	brōtē
बल	bl
बल्कि	bli
बलदेव	bldēv
बलनी	blī
बलबूते	blbūtē
ब्ल्यू	blyū
बलराज	blrāj
बलराम	blrām
बल्ले	bllē
बल्लेबाज	bllēbāj
बल्लेबाज़	bllēbāz
बल्लेबाजी	bllēbājī
बल्लेबाज़ी	bllēbāzī
बल्लेबाज़ों	bllēbāzō̃
बलवंत	blvt
बलविंदर	blvidr
बला	blā
ब्लाइंड	blāiṇḍ
ब्लाक	blā
बलात्कार	blātār
ब्लास्टर	blāsṭr
बलि	bli
बलिदान	blidā
बलिया	bliyā
ब्लू	blū
बलूचिस्तान	blūcistā
बलूचिस्तानः	blūcistāḥ
ब्लूटूथ	blūṭūth
ब्लूम	blūm
ब्लूस्टार	blūsṭār
ब्लूस्टारः	blūsṭārḥ
ब्लेयर	blēyr
ब्लेसिंग	blēsig
ब्लैक	bli
ब्लैकमेल	blimēl
ब्लैटर	bliṭr
ब्लॉकिंग	blôig
ब्लॉग	blôg
ब्लॉगडेक्स	blôgḍēs
ब्लॉगर	blôgr
बलों	blō̃
बवाल	bvāl
ब्वॉयफ़्रेंड	bvôyfrēṇḍ
बशर	bśr
बशर्ते	bśrtē
बस	bs
बसंत	bst
बसंती	bstī
बस्तर	bstr
बस्तियों	bstiyō̃
बस्ती	bstī
बसते	bstē
बस्ते	bstē
बसना	bsā
बसने	bsē
बसा	bsā
बसाए	bsāē
बसाएगा	bsāēgā
बसाना	bsāā
बसाने	bsāē
बसाया	bsāyā
बसी	bsī
बसु	bsu
बसुदेव	bsudēv
बसे	bsē
बसें	bsē̃
बसेगी	bsēgī
बसों	bsō̃
बह	bh
बहकावे	bhāvē
बहन	bh
बहना	bhā
बहनाने	bhāē
बहने	bhē
बहनों	bhō̃
बहमन	bhm
बहरहाल	bhrhāl
बहलाने	bhlāē
बहलिम	bhlim
बहस	bhs
बहसों	bhsō̃
बहा	bhā
बहाए	bhāē
बहाकर	bhār
बहाते	bhātē
बहादुर	bhādur
बहाना	bhāā
बहाने	bhāē
बहाया	bhāyā
बहार	bhār
बहारें	bhārē̃
बहाल	bhāl
बहिष्कार	bhiṣār
बहु	bhu
बहुउद्देशीय	bhuuddēśīy
बहुगुणा	bhuguṇā
बहुचर्चित	bhucrcit
बहुजन	bhuj
बहुत	bhut
बहुतों	bhutō̃
बहुधर्मी	bhudhrmī
बहुपक्षीय	bhupṣīy
बहुमत	bhumt
बहुमूल्य	bhumūly
बहुल	bhul
बहुलता	bhultā
बहुसंख्यक	bhusṁhy
बहू	bhū
बहे	bhē
बा	bā
बाँक्स	bā̃s
बाँट	bā̃ṭ
बाँटता	bā̃ṭtā
बाँटते	bā̃ṭtē
बाँटना	bā̃ṭā
बाँटने	bā̃ṭē
बाँटा	bā̃ṭā
बाँध	bā̃dh
बाँधकर	bā̃dhr
बाँधा	bā̃dhā
बाँधे	bā̃dhē
बाँधों	bā̃dhō̃
बाँस	bā̃s
बाँसुरी	bā̃surī
बाँह	bā̃h
बांग्ला	bāglā
बांगलादेश	bāglādēś
बांग्लादेश	bāglādēś
बांग्लादेशी	bāglādēśī
बांट	bāṇṭ
बांटते	bāṇṭtē
बांटने	bāṇṭē
बांड	bāṇḍ
बांदा	bādā
बांध	bādh
बांधना	bādhā
बांधे	bādhē
बांधें	bādhē̃
बांधों	bādhō̃
बाइनरी	bāirī
बाइपास	bāipās
बाईस	bāīs
बाउंस	bāũs
बाएँ	bāē̃
बाक़ायदा	bāqāydā
बाकी	bāī
बाक़ी	bāqī
बाग़	bāġ
बागडोर	bāgḍōr
बागबाँ	bāgbā̃
बागबाग	bāgbāg
बाग़बानी	bāġbāī
बाग्लादेश	bāglādēś
बाग़वानी	bāġvāī
बागान	bāgā
बागानवासी	bāgāvāsī
बाग़ी	bāġī
बाघों	bāghō̃
बाज़	bāz
बाजपेयी	bājpēyī
बाजार	bājār
बाज़ार	bāzār
बाज़ारीकरण	bāzārīrṇ
बाजारों	bājārō̃
बाज़ारों	bāzārō̃
बाज़ी	bāzī
बाज़ू	bāzū
बाट्टीकोलोवा	bāṭṭīōlōvā
बाड़	bāṛ
बाड़मेर	bāṛmēr
बाड़ी	bāṛī
बाढ़	bāṛh
बात	bāt
बातचीत	bātcīt
बातें	bātē̃
बातों	bātō̃
बाद	bād
बादल	bādl
बादलों	bādlō̃
बादशाह	bādśāh
बादशाहत	bādśāht
बादों	bādō̃
बाध्य	bādhy
बाध्यता	bādhytā
बाधा	bādhā
बाधाएँ	bādhāē̃
बाधाएं	bādhāē̃
बाधाओं	bādhāō̃
बाधित	bādhit
बानवे	bāvē
बानी	bāī
बानो	bāō
बाप	bāp
बापू	bāpū
बापूजी	bāpūjī
बाबतपुर	bābtpur
बाबर	bābr
बाबरी	bābrī
बाबा	bābā
बाबुलनाथ	bābulāth
बाबू	bābū
बाबूजी	bābūjī
बाबूलाल	bābūlāl
बाम	bām
बाय	bāy
बायें	bāyē̃
बायो	bāyō
बायोमेडिकल	bāyōmēḍil
बायोमैट्रिक्स	bāyōmiṭris
बार	bār
बार्टलेट	bārṭlēṭ
बार्डर	bārḍr
बारबरा	bārbrā
बारबारा	bārbārā
बारलो	bārlō
बार्सिलोना	bārsilōā
बारह	bārh
बारहवीं	bārhvī̃
बारात	bārāt
बारादेई	bārādēī
बारिश	bāriś
बारी	bārī
बारीक़	bārīq
बारीकी	bārīī
बारीष	bārīṣ
बारीसाल	bārīsāl
बारुदी	bārudī
बारूद	bārūd
बारूदी	bārūdī
बारे	bārē
बाल	bāl
बाल्को	bālō
बालकोष	bālōṣ
बालसिंघम	bālsighm
बाला	bālā
बालाकृष्णन	bālāṛṣṇ
बालाजी	bālājī
बालासिंघम	bālāsighm
बाली	bālī
बालों	bālō̃
बावजूद	bāvjūd
बावज़ूद	bāvzūd
बाशा	bāśā
बाशिंदे	bāśidē
बाशिम	bāśim
बास	bās
बासुदेव	bāsudēv
बाहर	bāhr
बाहरी	bāhrī
बिंद्रा	bidrā
बिंदी	bidī
बिंदु	bidu
बिंदुओं	biduō̃
बिंदुसार	bidusār
बिक	bi
बिकना	biā
बिकनी	biī
बिकने	biē
बिक्री	birī
बिकाऊ	biāū
बिकिनी	biiī
बिकी	biī
बिखर	bihr
बिखरा	bihrā
बिखराव	bihrāv
बिखरी	bihrī
बिखरे	bihrē
बिखेरी	bihērī
बिग	big
बिगड़ती	bigṛtī
बिगड़े	bigṛē
बिगाड़	bigāṛ
बिगाड़ने	bigāṛē
बिगुन	bigu
बिच्छुओं	bicchuō̃
बिच्छू	bicchū
बिछ	bich
बिछा	bichā
बिछाना	bichāā
बिछाने	bichāē
बिज़नेस	bizēs
बिजय	bijy
बिजली	bijlī
बिजानी	bijāī
बिटर	biṭr
बिटिया	biṭiyā
बिठा	biṭhā
बिठाए	biṭhāē
बिठाते	biṭhātē
बिठाने	biṭhāē
बिड़ला	biṛlā
बिढ़िया	biṛhiyā
बिता	bitā
बिताई	bitāī
बिताए	bitāē
बिताएगा	bitāēgā
बिताऐं	bitāĩ
बिताते	bitātē
बिताना	bitāā
बिताने	bitāē
बिताया	bitāyā
बिन	bi
बिना	biā
बिनोद	biōd
बिपाशा	bipāśā
बिमारियों	bimāriyō̃
बियोंसि	biyō̃si
बियोंसे	biyō̃sē
बिरंगी	birgī
बिरंगे	birgē
बिरगित	birgit
बिरजू	birjū
बिरसा	birsā
बिरादरी	birādrī
बिल	bil
बिलकुल	bilul
बिल्कुल	bilul
बिलख	bilh
बिलखते	bilhtē
बिल्डर	bilḍr
बिल्डिंग	bilḍig
बिल्डिंगों	bilḍigō̃
बिल्लियों	billiyō̃
बिल्ली	billī
बिलासपुर	bilāspur
बिलौटा	biluṭā
बिलौटे	biluṭē
बिशन	biś
बिशनपुर	biśpur
बिशनपुरा	biśpurā
बिष्ट	biṣṭ
बिस्तर	bistr
बिस्वास	bisvās
बिहार	bihār
बिहारी	bihārī
बी	bī
बीआर	bīār
बीए	bīē
बीएपीएस	bīēpīēs
बीएमसी	bīēmsī
बीएस	bīēs
बीएसएफ़	bīēsēf
बीगल	bīgl
बीगुन	bīgu
बीच	bīc
बीचम	bīcm
बीचोंबीच	bīcōmbīc
बीज	bīj
बीज़	bīz
बीजिंग	bījig
बीजेपी	bījēpī
बीटल्स	bīṭls
बीटा	bīṭā
बीड़ा	bīṛā
बीड़ू	bīṛū
बीत	bīt
बीतता	bīttā
बीतने	bītē
